ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C114,AlgoWorks,4,???,Enterprise,"{""industry"": ""Fintech"", ""size"": ""Small""}"
C115,NovaTech,5,"T007,T007,T016,T016",Enterprise,"{""industry"": ""Energy"", ""size"": ""Small""}"
C116,Quantech,4,???,Enterprise,"{""industry"": ""Fintech"", ""size"": ""Large""}"
C117,Quantech,1,"T015,T009",Enterprise,"{""industry"": ""Energy"", ""size"": ""Medium""}"
C118,NovaTech,1,"T020,T019",Enterprise,"{""industry"": ""Retail"", ""size"": ""Large""}"
C119,ByteBridge,3,"T004,T015",SMB,"{""industry"": ""Energy"", ""size"": ""Small""}"
C120,bytebridge,5,"T004,T020,T010,T013",Enterprise,"{""industry"": ""Logistics"", ""size"": ""Small""}"
C121,DevNest,1,"T018,T008,T012,T002,T005",Startup,"{""industry"": ""Gaming"", ""size"": ""Large""}"
C122,NovaTech,2,"T012,T011",Enterprise,"{""industry"": ""Fintech"", ""size"": ""Small""}"
C123,Sparkify,3,"T007,T002,T011,T006",Enterprise,"{""industry"": ""EdTech"", ""size"": ""Large""}"
C124,AlgoWorks,2,???,Enterprise,"{""industry"": ""Logistics"", ""size"": ""Medium""}"
C125,innovasys,3,"T020,T005",Enterprise,"{""industry"": ""EdTech"", ""size"": ""Medium""}"
C126,ByteBridge,3,"T002,T014,T014,T013",Enterprise,"{""industry"": ""Gaming"", ""size"": ""Small""}"
C127,ByteBridge,4,,SMB,"{""industry"": ""Logistics"", ""size"": ""Small""}"
C128,AlgoWorks,1,"T013,T019,T012",Startup,"{""industry"": ""Gaming"", ""size"": ""Medium""}"
C129,algoworks,5,"T018,T013,T018,T017,T016",SMB,"{""industry"": ""Logistics"", ""size"": ""Large""}"
C130,novatech,5,"T019,T016,T014,T010,T018",Startup,"{""industry"": ""Retail"", ""size"": ""Large""}"
C131,???,2,"T017,T004,T009",Startup,"{""industry"": ""Retail"", ""size"": ""Small""}"
C132,???,3,"T012,T014",Enterprise,"{""industry"": ""Logistics"", ""size"": ""Large""}"
C133,NovaTech,5,"T005,T009,T017,T013",Enterprise,"{""industry"": ""Retail"", ""size"": ""Small""}"
C134,,1,"T016,T003,T019,T012,T008",SMB,"{""industry"": ""Retail"", ""size"": ""Large""}"
C135,???,3,"T019,T016,T003,T012,T013",Startup,"{""industry"": ""EdTech"", ""size"": ""Small""}"
C136,DevNest,2,"T013,T012,T010,T010",Enterprise,"{""industry"": ""Retail"", ""size"": ""Large""}"
C137,DevNest,2,"T013,T006,T020",Enterprise,"{""industry"": ""Energy"", ""size"": ""Medium""}"
C138,???,4,"T004,T004,T001",SMB,"{""industry"": ""Fintech"", ""size"": ""Medium""}"
C139,novatech,1,"T011,T013,T018,T003,T010",Enterprise,"{""industry"": ""Retail"", ""size"": ""Medium""}"
C140,???,4,"T019,T020",Startup,"{""industry"": ""Gaming"", ""size"": ""Large""}"
C141,NovaTech,1,"T020,T001,T016,T006,T001",Enterprise,"{""industry"": ""Retail"", ""size"": ""Large""}"
C142,,2,"T020,T020,T011,T013",Startup,"{""industry"": ""Gaming"", ""size"": ""Medium""}"
C143,AlgoWorks,3,,Enterprise,"{""industry"": ""Energy"", ""size"": ""Large""}"
C144,InnovaSys,3,"T006,T013",Enterprise,"{""industry"": ""Energy"", ""size"": ""Medium""}"
C145,NovaTech,5,"T013,T016,T016",Startup,"{""industry"": ""Healthcare"", ""size"": ""Medium""}"
C146,AlgoWorks,2,,Enterprise,"{""industry"": ""Logistics"", ""size"": ""Large""}"
C147,bytebridge,2,"T004,T009,T014,T016,T001",Startup,"{""industry"": ""Energy"", ""size"": ""Medium""}"
C148,Sparkify,3,"T019,T020,T006,T009,T016",SMB,"{""industry"": ""Energy"", ""size"": ""Medium""}"
C149,DevNest,3,"T005,T003",Startup,"{""industry"": ""Healthcare"", ""size"": ""Large""}"
